"Station.ID","Date.EST","param","Units","HalfMDL","source"
"PI-02",2006-09-19,"Chla","ug/L",0.7,"Lee County"
"PI-02",2006-09-19,"color","PCU",107,"Lee County"
"PI-02",2006-09-19,"DO.mgL","mg/L",5.1,"Lee County"
"PI-02",2006-09-19,"NOx","mg/L",0.21,"Lee County"
"PI-02",2006-09-19,"Pheo","ug/L",1.7,"Lee County"
"PI-02",2006-09-19,"sal","PSU",8.7,"Lee County"
"PI-02",2006-09-19,"secchi","meters",1,"Lee County"
"PI-02",2006-09-19,"SPC","uS/cm",15100,"Lee County"
"PI-02",2006-09-19,"TKN","mg/L",0.71,"Lee County"
"PI-02",2006-09-19,"TN","mg/L",0.92,"Lee County"
"PI-02",2006-09-19,"TOC","mg/L",13.2,"Lee County"
"PI-02",2006-09-19,"TP","mg/L",0.15,"Lee County"
"PI-02",2006-09-19,"TSS","mg/L",3.75,"Lee County"
"PI-02",2006-09-19,"Turb","NTU",1.21,"Lee County"
"PI-02",2006-10-10,"Chla","ug/L",1.2,"Lee County"
"PI-02",2006-10-10,"color","PCU",32.8,"Lee County"
"PI-02",2006-10-10,"DO.mgL","mg/L",5.3,"Lee County"
"PI-02",2006-10-10,"K.par","1/m",1.608,"Lee County"
"PI-02",2006-10-10,"NOx","mg/L",0.005,"Lee County"
"PI-02",2006-10-10,"Pheo","ug/L",7.9,"Lee County"
"PI-02",2006-10-10,"sal","PSU",20.3,"Lee County"
"PI-02",2006-10-10,"secchi","meters",1.4,"Lee County"
"PI-02",2006-10-10,"SPC","uS/cm",32500,"Lee County"
"PI-02",2006-10-10,"TKN","mg/L",0.62,"Lee County"
"PI-02",2006-10-10,"TN","mg/L",0.63,"Lee County"
"PI-02",2006-10-10,"TOC","mg/L",7.75,"Lee County"
"PI-02",2006-10-10,"TP","mg/L",0.07,"Lee County"
"PI-02",2006-10-10,"TSS","mg/L",11.3,"Lee County"
"PI-02",2006-10-10,"Turb","NTU",1.04,"Lee County"
"PI-02",2006-11-14,"Chla","ug/L",3.3,"Lee County"
"PI-02",2006-11-14,"color","PCU",19.6,"Lee County"
"PI-02",2006-11-14,"DO.mgL","mg/L",6.5,"Lee County"
"PI-02",2006-11-14,"NOx","mg/L",0.02,"Lee County"
"PI-02",2006-11-14,"Pheo","ug/L",13,"Lee County"
"PI-02",2006-11-14,"sal","PSU",26.3,"Lee County"
"PI-02",2006-11-14,"secchi","meters",NA,"Lee County"
"PI-02",2006-11-14,"SPC","uS/cm",41000,"Lee County"
"PI-02",2006-11-14,"TKN","mg/L",0.72,"Lee County"
"PI-02",2006-11-14,"TN","mg/L",0.74,"Lee County"
"PI-02",2006-11-14,"TOC","mg/L",6.13,"Lee County"
"PI-02",2006-11-14,"TP","mg/L",0.06,"Lee County"
"PI-02",2006-11-14,"TSS","mg/L",10.3,"Lee County"
"PI-02",2006-11-14,"Turb","NTU",0.58,"Lee County"
"PI-02",2006-12-11,"Chla","ug/L",1.6,"Lee County"
"PI-02",2006-12-11,"color","PCU",14.6,"Lee County"
"PI-02",2006-12-11,"DO.mgL","mg/L",7.6,"Lee County"
"PI-02",2006-12-11,"K.par","1/m",1.011,"Lee County"
"PI-02",2006-12-11,"NOx","mg/L",0.02,"Lee County"
"PI-02",2006-12-11,"Pheo","ug/L",12,"Lee County"
"PI-02",2006-12-11,"sal","PSU",24.6,"Lee County"
"PI-02",2006-12-11,"secchi","meters",NA,"Lee County"
"PI-02",2006-12-11,"SPC","uS/cm",38600,"Lee County"
"PI-02",2006-12-11,"TKN","mg/L",0.36,"Lee County"
"PI-02",2006-12-11,"TN","mg/L",0.38,"Lee County"
"PI-02",2006-12-11,"TOC","mg/L",4.88,"Lee County"
"PI-02",2006-12-11,"TP","mg/L",0.06,"Lee County"
"PI-02",2006-12-11,"TSS","mg/L",16.5,"Lee County"
"PI-02",2006-12-11,"Turb","NTU",0.6,"Lee County"
"PI-02",2007-01-08,"Chla","ug/L",1.4,"Lee County"
"PI-02",2007-01-08,"color","PCU",15.6,"Lee County"
"PI-02",2007-01-08,"DO.mgL","mg/L",6.2,"Lee County"
"PI-02",2007-01-08,"K.par","1/m",1.105,"Lee County"
"PI-02",2007-01-08,"NOx","mg/L",0.02,"Lee County"
"PI-02",2007-01-08,"Pheo","ug/L",1.1,"Lee County"
"PI-02",2007-01-08,"sal","PSU",26.8,"Lee County"
"PI-02",2007-01-08,"secchi","meters",NA,"Lee County"
"PI-02",2007-01-08,"SPC","uS/cm",41700,"Lee County"
"PI-02",2007-01-08,"TKN","mg/L",0.33,"Lee County"
"PI-02",2007-01-08,"TN","mg/L",0.35,"Lee County"
"PI-02",2007-01-08,"TOC","mg/L",4.44,"Lee County"
"PI-02",2007-01-08,"TP","mg/L",0.062,"Lee County"
"PI-02",2007-01-08,"TSS","mg/L",14.3,"Lee County"
"PI-02",2007-01-08,"Turb","NTU",1.14,"Lee County"
"PI-02",2007-02-19,"Chla","ug/L",1.9,"Lee County"
"PI-02",2007-02-19,"color","PCU",41.5,"Lee County"
"PI-02",2007-02-19,"DO.mgL","mg/L",8.3,"Lee County"
"PI-02",2007-02-19,"K.par","1/m",1.101,"Lee County"
"PI-02",2007-02-19,"NOx","mg/L",0.005,"Lee County"
"PI-02",2007-02-19,"Pheo","ug/L",0.5,"Lee County"
"PI-02",2007-02-19,"sal","PSU",27.7,"Lee County"
"PI-02",2007-02-19,"secchi","meters",NA,"Lee County"
"PI-02",2007-02-19,"SPC","uS/cm",42900,"Lee County"
"PI-02",2007-02-19,"TKN","mg/L",0.42,"Lee County"
"PI-02",2007-02-19,"TN","mg/L",0.43,"Lee County"
"PI-02",2007-02-19,"TOC","mg/L",9.34,"Lee County"
"PI-02",2007-02-19,"TP","mg/L",0.072,"Lee County"
"PI-02",2007-02-19,"TSS","mg/L",9.5,"Lee County"
"PI-02",2007-02-19,"Turb","NTU",1.52,"Lee County"
"PI-02",2007-03-27,"Chla","ug/L",1.5,"Lee County"
"PI-02",2007-03-27,"color","PCU",3.51,"Lee County"
"PI-02",2007-03-27,"DO.mgL","mg/L",6.7,"Lee County"
"PI-02",2007-03-27,"NOx","mg/L",0.005,"Lee County"
"PI-02",2007-03-27,"Pheo","ug/L",0.25,"Lee County"
"PI-02",2007-03-27,"sal","PSU",33.3,"Lee County"
"PI-02",2007-03-27,"secchi","meters",NA,"Lee County"
"PI-02",2007-03-27,"SPC","uS/cm",50700,"Lee County"
